component_id,component,maturity,closest_formal_or_latest_work,venue_status,doi_or_arxiv,official_code_or_checkpoint,mechanism_solved,decision_time,uses_future_query_or_answer,training_required,fallback_allowed,dynamic_update,reported_result,known_failure_or_limit,independent_reproduction_or_forensic_note,boundary,interface_gap,primary_sources
11,Semantic / topic / episodic state,ACTIVE,EpiCache; HMT; RecMem; MemoryBank,arXiv 2025; NAACL 2025; Findings ACL 2026; AAAI 2024,2509.17396; 10.18653/v1/2025.naacl-long.410; 10.18653/v1/2026.findings-acl.1619; 10.1609/aaai.v38i17.29946,apple/ml-epicache; OswaldHe/HMT-pytorch; CaiusDai/RecMem; MemoryBank-SiliconFriend,cluster or label history by topic/episode/entity and use the state for memory extraction or budget allocation,ingest/consolidation time; EpiCache also matches current questions,usually current query or recurrence is visible; future questions are not available at initial write,RecMem/MemoryBank invoke LLM or embeddings; EpiCache training-free; HMT adapts a Transformer,RecMem and MemoryBank call LLM/embedding pipelines; EpiCache is training-free; HMT adapts a Transformer,external systems retain raw sessions or episode sources; internal KV fallback differs,RecMem reports up to 87% construction-token reduction; EpiCache reports 4-6x compression in LongConvQA,semantic clusters can omit fine facts; external memory accuracy does not imply internal KV correctness; recurrence may arrive too late,"official code exists for EpiCache/HMT/RecMem/MemoryBank, but independent cross-system comparisons are limited",external agent memory versus internal KV,"state identity, temporal updates, and exact mapping back to layer KV are unsolved interfaces",https://arxiv.org/abs/2509.17396; https://aclanthology.org/2025.naacl-long.410/; https://aclanthology.org/2026.findings-acl.1619/; https://ojs.aaai.org/index.php/AAAI/article/view/29946
12,Promotion / demotion / decay,ACTIVE,MemoryBank; RecMem; SF-AMS; ARC; RMM; EVICPRESS; AdaptCache,AAAI 2024; Findings ACL 2026; arXiv 2026; USENIX FAST 2003,10.1609/aaai.v38i17.29946; 10.18653/v1/2026.findings-acl.1619; 2607.22562; ARC USENIX,MemoryBank/RecMem code; SF-AMS code not located; ARC is classical and widely implemented,"raise or lower retention level using significance, recurrence, age, or adaptive recency/frequency","after write, recurrence, access, fixed lag, or decay tick",external systems may see recurrence/use; ARC sees requests; RMM sees post-use correctness; none is a universal internal KV loop,RecMem/MemoryBank use LLM or embeddings; ARC and RMM are training-free,external memory may retain raw sources; internal exact fallback is not defined,yes in external memory/classical cache and RMM lag; no confirmed exact internal KV promote/demote,MemoryBank significance reinforcement/forgetting; RecMem recurrence consolidation; SF-AMS utility survival; ARC adaptive replacement,promotion can freeze obsolete memories; decay can erase rare facts; utility labels are costly and often unavailable,RMM supplies a failure map; no verified complete internal KV promote→reuse→demote implementation found,controller/lifecycle,"combining admission, tier choice, and semantic state under equal memory/I/O budgets is unresolved, but the general principle is not new",https://ojs.aaai.org/index.php/AAAI/article/view/29946; https://aclanthology.org/2026.findings-acl.1619/; https://arxiv.org/abs/2607.22562; https://www.usenix.org/conference/fast-03/presentation/arc-self-tuning-low-overhead-replacement-cache; https://arxiv.org/html/2512.14946; https://arxiv.org/html/2509.00105
13,Dynamic cache tier allocation,ACTIVE,HeteroCache; EVICPRESS; AdaptCache; IMPRESS; Strata; EpiCache,ACL 2026; arXiv 2025/2026; FAST 2025,2601.13684; 2509.17396; 2507.19823; 2410.10819,ponytaill/HeteroCache; apple/ml-epicache; HCAttention code not verified,"Head-, context-, prefix- and scheduler-level budgets can change precision or GPU/CPU/SSD residency using drift, predicted utility, quality profiles or importance",offline calibration plus decode-time drift or question matching,current attention/query or calibration workload; no post-use utility loop in HeteroCache/EpiCache,mostly training-free; DuoAttention uses learned head partitioning,mostly training-free; DuoAttention uses learned head partitioning,HeteroCache drift refresh; EVICPRESS periodic reprofile/knapsack; AdaptCache marginal utility; IMPRESS/Strata runtime tier placement,HeteroCache up to 3x decode acceleration at 224K; EVICPRESS/AdaptCache/IMPRESS/Strata report system-level TTFT/I/O gains in their settings,Most decisions are head/context/prefix-level; no q1 exact evidence utility; hardware transfer and profiling costs can dominate; no explicit inactivity decay,HeteroCache checklist says results are single-run; EpiCache has reproducibility code but requires CUDA/models,internal KV and systems,Map q1 evidence utility to exact internal KV identity and tier under equal I/O/quality budget,https://arxiv.org/abs/2601.13684; https://github.com/apple/ml-epicache; https://arxiv.org/abs/2507.19823; https://arxiv.org/html/2512.14946; https://arxiv.org/html/2509.00105; https://www.usenix.org/conference/fast25/presentation/chen-weijian-impress; https://arxiv.org/html/2508.18572
14,GPU / CPU / SSD hot-cold storage,MATURE,FlexGen; ZeRO-Inference; PagedAttention/vLLM; Tutti; MTDS,MLSys/PMLR 2023; DeepSpeed system; SOSP/arXiv 2023; arXiv 2026; Springer 2025,2303.06865; 2207.00032; 2309.06180; 2605.03375; 10.1007/s40747-025-02200-4,FMInference/FlexGen; DeepSpeed; vllm-project/vllm; Tutti code status not fully checked,"use GPU HBM/VRAM, CPU DRAM, and SSD/NVMe as a hierarchy with paging/offload/prefetch","runtime scheduling, page miss, or asynchronous prefetch",future query not required for placement primitives; workload hints may be used,systems engineering; no model retraining for basic offload,systems engineering; no model retraining required for basic offload,"yes, dynamic paging and prefetching are core features",FlexGen aggregates GPU/CPU/disk; ZeRO streams layers; PagedAttention reduces waste; Tutti targets SSD-backed KV,I/O and PCIe/NVMe latency can dominate; capacity savings do not imply token latency savings,mature production code for FlexGen/DeepSpeed/vLLM; newer Tutti/MTDS claims need independent replication,systems layer,mapping semantic utility to hardware residency and proving overlap with attention is unresolved,https://arxiv.org/abs/2303.06865; https://www.deepspeed.ai/2022/09/09/zero-inference.html; https://arxiv.org/abs/2309.06180; https://arxiv.org/abs/2605.03375; https://doi.org/10.1007/s40747-025-02200-4
15,Attention-drift-triggered retrieval,ACTIVE,HeteroCache; practical online compaction; attention-sink and dynamic eviction literature,ACL 2026; arXiv 2026; ICLR 2024,2601.13684; 2608.00902; 2309.17453,ponytaill/HeteroCache; practical-compaction code not verified; StreamingLLM official code,monitor changing attention distribution and fetch/re-compact contexts when the current representation becomes inadequate,decode-time drift window or delayed compaction proxy,current attention or delayed proxy query is visible; future user query is not fully known,HeteroCache training-free; practical compaction compares online proxies,HeteroCache training-free; practical online compaction compares proxy-query strategies,"yes, on drift or proxy availability",HeteroCache reports asynchronous retrieval; practical study finds immediate compaction often hurts and delayed queries recover quality,attention drift may be a proxy for relevance rather than semantic utility; monitor/fetch overhead can erase gains,practical study is a preprint; HeteroCache authors report single-run results per checklist,internal KV lifecycle,no standard trigger calibration or cost model across model/head/workload regimes,https://arxiv.org/abs/2601.13684; https://arxiv.org/abs/2608.00902; https://iclr.cc/media/iclr-2024/Slides/18794.pdf
16,First-time unexpected query handling,OPEN,Landmark raw-block fallback; HeteroCache CPU retrieval; EVICPRESS/AdaptCache recompute-or-load miss handling,NeurIPS 2023; ACL 2026; arXiv 2026,10.52202/075280-2378; 2601.13684; 2608.00902,Landmark official code; HeteroCache author repo; practical-compaction code not verified,Landmark can route q1 to raw blocks; HeteroCache can refresh CPU satellite KV; service caches can load or recompute contexts,only after the query arrives; may use a provisional lag buffer,future query is explicitly unknown at write/compaction; q1 can force a cold read,Landmark/HeteroCache train or calibrate; practical study compares proxies,Landmark/HeteroCache mostly training/calibration; practical study compares online proxies,fallback is the defining requirement,Landmark demonstrates random-access blocks; practical study finds immediate online compaction can lose accuracy,Recompute/load is not exact raw evidence fallback; no method here proves q1 post-use attribution and later promotion,RMM and practical compaction provide negative/conditional evidence; no unified benchmark with true q1/q2/q3 lifecycle found,boundary between router and storage,Bounded first-miss evidence recall must be connected to an exact identity and later q2/q3 resource allocation,https://proceedings.neurips.cc/paper_files/paper/2023/hash/ab05dc8bf36a9f66edbff6992ec86f56-Abstract-Conference.html; https://arxiv.org/abs/2601.13684; https://arxiv.org/abs/2608.00902; https://arxiv.org/html/2512.14946; https://arxiv.org/html/2509.00105
17,Recurrent-use memory consolidation,ACTIVE,RecMem; MemoryBank; R³Mem; SF-AMS,Findings ACL 2026; AAAI 2024; Findings ACL 2025; arXiv 2026,10.18653/v1/2026.findings-acl.1619; 10.1609/aaai.v38i17.29946; 10.18653/v1/2025.findings-acl.235; 2607.22562,official code for RecMem/MemoryBank; R³Mem/SF-AMS code not located,use repeated semantic interactions to consolidate episodic/semantic memory or survival,when recurrence threshold or use evidence is reached,future queries are not known; recurrence is observed only after several interactions,external memory often invokes LLM extraction; R³Mem uses PEFT,external memory systems often invoke LLM extraction; R³Mem uses PEFT; SF-AMS status preprint,raw interaction links are often retained for refinement,RecMem reports lower construction token cost and higher benchmark accuracy; MemoryBank reports reinforcement/forgetting,recurrence can be too late for the first use; summaries omit fine facts; external memory results do not prove internal KV benefit,official code availability is mixed; independent cross-system replication not located,external agent memory,turning repeated-use consolidation into internal per-layer KV with bounded utility cost is unverified,https://aclanthology.org/2026.findings-acl.1619/; https://ojs.aaai.org/index.php/AAAI/article/view/29946; https://aclanthology.org/2025.findings-acl.235/; https://arxiv.org/abs/2607.22562
18,Controller overhead / I/O / real latency,ACTIVE,SCBench; EVICPRESS; AdaptCache; IMPRESS; Strata; HeteroCache; KVzip; RMM,ICLR 2025; arXiv 2025/2026; NeurIPS 2025,2412.10319; 2509.17396; 2601.13684; 2505.23416; 2607.24667; 2608.00902,SCBench official site; EpiCache code; KVzip code; other code status mixed,"measure generation, compression, retrieval, loading, selection, and controller costs end-to-end","every request lifecycle, including asynchronous loading",query and system state may be known; future workload usually not,varies from training-free heuristics to offline RL,varies from training-free heuristics to offline RL,"yes, but every update has CPU/GPU/I/O cost",SCBench separates generation/compression/retrieval/loading; EVICPRESS/AdaptCache/IMPRESS/Strata measure system I/O/TTFT; HeteroCache measures async transfer; RMM/KVzip report model-side cost,"Context-level quality and single-run speedups do not establish evidence-level lifecycle benefit; routing scans, recompute, PCIe/NVMe and profiling can erase gains",RMM reports advantage disappearing on independent KVPress benchmarks; SCBench exists because single-request benchmarks miss lifecycle costs,systems/evaluation interface,"No shared cost model covers exact evidence attribution, probes, decompression, PCIe/NVMe bytes, queueing and q2/q3 answer quality",https://openreview.net/pdf/264842d66ae06cc7f27d1881a403f6d8816aca4d.pdf; https://arxiv.org/abs/2509.17396; https://arxiv.org/abs/2601.13684; https://proceedings.neurips.cc/paper_files/paper/2025/hash/f4eaa4b8f2d08edb3f0af990d56134ea-Abstract-Conference.html; https://arxiv.org/abs/2607.24667; https://arxiv.org/abs/2608.00902; https://arxiv.org/html/2512.14946; https://arxiv.org/html/2509.00105; https://www.usenix.org/conference/fast25/presentation/chen-weijian-impress; https://arxiv.org/html/2508.18572
19,End-to-end Transformer integration,ACTIVE,NSA; HMT; Activation Beacon; Infini-attention; R³Mem; HeteroCache; EVICPRESS/AdaptCache service systems,ACL 2025; NAACL 2025; ICLR 2025; preprint 2024; Findings ACL 2025; ACL 2026,10.18653/v1/2025.acl-long.1126; 10.18653/v1/2025.naacl-long.410; 2401.03462; 2404.07143; 10.18653/v1/2025.findings-acl.235; 2601.13684,official code for NSA not confirmed; HMT/Activation Beacon/KVzip code; Infini official path; R³Mem code not located,modify attention or memory flow enough to train/infer a long-context model,"training time, prefill, decode, or memory retrieval",usually future query hidden; training may use long-context traces or compression objectives,often learned modules; HeteroCache is training-free,often yes for learned modules; HeteroCache is training-free,"varies: local/cached compressed state, hierarchy, raw retrieval, or recurrent memory","these works demonstrate pieces in real Transformers, not a unified post-use utility + multi-tier + fallback loop","Internal methods and service systems cover different granularities; RMM natural-workload collapse, Infini reproduction issues and tier I/O show that component composition is not a validated closed loop",Hugging Face Infini-Attention reproduction is negative evidence; no independent full-stack RCHAM reproduction exists,model architecture,No end-to-end Transformer integration confirmed for q1 cold evidence attribution → exact KV promotion → q2/q3 reuse → t7 decay,https://aclanthology.org/2025.acl-long.1126/; https://aclanthology.org/2025.naacl-long.410/; https://proceedings.iclr.cc/paper_files/paper/2025/hash/fc797c61eb18f7b3ce9a74af0ef0d876-Abstract-Conference.html; https://arxiv.org/abs/2404.07143; https://aclanthology.org/2025.findings-acl.235/; https://arxiv.org/abs/2601.13684; https://arxiv.org/html/2512.14946; https://arxiv.org/html/2509.00105
20,Evaluation benchmarks and failure regimes,MATURE,LongBench; RULER; LongMemEval; BABILong; SCBench; KV-compression pitfalls,ACL 2024; COLM 2024; ICLR 2025; NeurIPS 2024; ICLR 2025; preprint 2025,10.18653/v1/2024.acl-long.172; 2404.06654; 2410.10813; 2406.10149; 2412.10319; 2510.00231,LongBench/RULER/BABILong/LongMemEval/SCBench repositories and official evaluators,"separate retrieval, multi-hop, aggregation, long-memory, compression, loading, and safety/failure measurements",offline benchmark or lifecycle replay; SCBench includes cache stages,benchmark queries are fixed and therefore must be kept separate from write/compression decisions,no training needed for benchmark use; judge models may be required,no training needed for benchmark use; judge models may be required,benchmarks increasingly include multi-turn and lifecycle probes,LongBench/RULER/LongMemEval/BABILong/SCBench measure different slices; EVICPRESS adds context-level quality/TTFT but not evidence-level q1/q2 lifecycle,"No standard protocol jointly controls unknown q1, cold/raw fallback, post-use exact attribution, pressure, related q2/q3, tier/I/O and t7 decay",RULER/LongBench/SCBench provide public harnesses; independent benchmark audits are mixed,evaluation layer,A lifecycle benchmark with provenance-level evidence IDs and equal quality/bytes/I/O budgets is still missing,https://aclanthology.org/2024.acl-long.172/; https://openreview.net/pdf?id=kIoBbc76Sy; https://openreview.net/pdf?id=pZiyCaVuti; https://proceedings.neurips.cc/paper_files/paper/2024/file/c0d62e70dbc659cc9bd44cbcf1cb652f-Paper-Datasets_and_Benchmarks_Track.pdf; https://openreview.net/pdf/264842d66ae06cc7f27d1881a403f6d8816aca4d.pdf; https://arxiv.org/abs/2510.00231; https://arxiv.org/html/2512.14946; https://arxiv.org/html/2509.00105
